Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;VTR-8492879;AC:F8:CC:1D:60:60;;11;No;WPA2,AES-CCM;No;130.0;0;27;0;1;0;0;1;;;Fri Oct 20 09:11:51 2023;Fri Oct 20 09:14:23 2023;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;VTR-5668386;E4:57:40:C0:DB:5B;;11;No;WPA2,AES-CCM;No;130.0;0;5;0;0;0;0;0;;;Fri Oct 20 09:11:48 2023;Fri Oct 20 09:14:23 2023;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Kata_rep;9C:9D:7E:22:19:9D;;8;No;WPA2,AES-CCM,TKIP;No;130.0;0;11;0;0;0;0;0;;;Fri Oct 20 09:11:49 2023;Fri Oct 20 09:14:22 2023;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Himeko;C6:ED:DC:6F:C0:BA;;11;No;WPA2,AES-CCM;No;130.0;0;8;0;1;0;0;1;;;Fri Oct 20 09:12:09 2023;Fri Oct 20 09:14:45 2023;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;B0:1F:8C:E3:D1:84;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Oct 20 09:13:59 2023;Fri Oct 20 09:13:59 2023;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Bobby;04:D4:C4:3B:DB:58;;10;No;WPA2,AES-CCM;No;195.0;0;0;0;0;0;0;0;;;Fri Oct 20 09:11:54 2023;Fri Oct 20 09:13:58 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;Expedientes;7C:DB:98:43:F1:0F;;1;No;WPA2,AES-CCM;No;130.0;0;12;0;0;0;0;0;;;Fri Oct 20 09:11:52 2023;Fri Oct 20 09:13:55 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;movistar2,4GHZ_10DC59;C8:B4:22:10:DC:59;;6;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Fri Oct 20 09:13:55 2023;Fri Oct 20 09:13:58 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;movistar_AC71;38:B8:00:F8:AC:71;;11;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Fri Oct 20 09:12:13 2023;Fri Oct 20 09:13:47 2023;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;B0:48:7A:D2:DC:E8;;3;No;WPA2,AES-CCM;No;130.0;0;5;0;0;0;0;0;;;Fri Oct 20 09:12:04 2023;Fri Oct 20 09:13:46 2023;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;;A4:6D:A4:4A:1E:CF;;6;No;WPA,AES-CCM,TKIP;No;360.0;0;2;0;0;0;0;0;;;Fri Oct 20 09:12:28 2023;Fri Oct 20 09:13:08 2023;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
